position,score
4r1k1/p4ppp/1p1r4/7q/3RQ3/1PN1n1PP/PB3P2/2R3K1 w - - 1 25,99999
8/p2bkp2/1p3Np1/5PP1/P3P1P1/8/8/6K1 b - - 0 40,54
1n4k1/pb2rppp/1p1Q1n2/6N1/2B5/1P5P/P4PPK/8 w - - 9 26,648
8/1p6/1pp4k/3Pbq2/8/PP6/KB6/3RR3 w - - 2 43,806
6Q1/1kpK3P/3n4/1p6/8/4q3/8/8 w - - 0 63,288
r1bqkQ1r/pp1n2bp/4p1p1/2p1P1B1/2P3n1/2N2N2/PP4PP/R3KB1R b KQkq - 3 13,434
8/5k2/8/6pp/6bP/6P1/5KB1/8 w - - 2 55,1
5b2/3r3k/4R1p1/1Q4Bp/p2pR1PP/P1r2q2/8/4K3 b - - 1 36,424
Q7/5pkp/1n2p3/2p1Pn2/2P5/6P1/8/1q3NK1 b - - 9 40,742
1Q6/8/8/8/3K4/8/5k2/2q5 b - - 2 56,-3
3r2k1/2q2pp1/p1nNp2p/8/P4Q2/1P1n1NP1/5PP1/4R1K1 b - - 0 28,587
4b3/3rk3/6R1/3BP2p/1pP1Kp2/1P6/P6P/8 b - - 3 49,422
3R4/r5kp/6p1/8/3p1n2/3B3P/2P2PPK/8 w - - 5 38,274
5k2/8/pp4p1/7p/4N2P/PP2bK2/1B6/8 w - - 3 41,611
5rk1/7p/3q2p1/3p4/P2b4/1Q5P/1P2B1P1/4K3 b - - 1 37,603
4q3/3Qb1pk/1pr1p2p/2pp4/2P1N3/3PP1R1/PP4PP/6K1 w - - 2 27,619
5rk1/pp2Qppp/2p5/q7/1PP5/6Pb/P4PBP/3R2K1 w - - 1 22,615
r1br1bk1/4Nppp/3p4/4p1PP/4P3/Pp2QPB1/1Pq5/K2R3R b - - 4 29,416
8/8/k7/b7/r7/N6P/K3R3/8 b - - 5 56,-6
q4k2/P4p2/4p3/1K6/8/8/8/6q1 b - - 1 51,4446
8/5p2/8/8/4kp1K/8/8/8 b - - 0 49,712
4b3/8/4k3/2R3p1/8/4P3/1r1B4/4K3 w - - 10 46,-6
r5k1/pp4pp/3B4/3p4/3P2br/b2B1R1P/3KR3/8 b - - 1 26,446
4n1k1/1r3pp1/Q3p1p1/8/bB6/P6P/5PP1/6K1 w - - 4 44,515
r2q1b1r/pb1nkppp/4pn2/1Bp1N1B1/Pp1PP3/5Q2/1P3PPP/RN2K2R w KQ - 3 14,443
1k1r4/p1ppR1p1/1p4B1/1b3P1P/2n2QP1/5PK1/P7/3q4 w - - 4 41,-130
3k3r/8/1NBp2q1/pP1P1b2/5n1p/P4R1p/3Qr1P1/6NK b - - 3 38,99999
r2qr1k1/pp1n1p1p/2pP2pP/5b2/2P1NQ2/2B5/PPB5/1K1R3R w - - 4 32,603
2r3k1/p4pp1/2b2n1p/2P2q2/1Q1B4/4P2N/5P2/3BK1R1 w - - 4 31,317
8/6n1/1p3k2/6rp/8/3R4/7K/8 b - - 13 64,412
5n1r/4k1p1/p3pqP1/1p1b1pB1/1b1P4/3Q4/PP2BP2/R2K2R1 w - - 4 24,469
3r1b2/1kQ1qp2/p5p1/6P1/4P3/P5Bp/7P/7K b - - 2 33,811
8/5pk1/5bp1/4n3/1P1pB3/7P/2p2KP1/2R5 w - - 2 51,286
8/3nk1p1/p3pqP1/1p1b1pB1/1b1P4/3Q3r/PP2BP2/R2K2R1 w - - 4 24,761
6k1/5p1p/1q3np1/6Q1/3p4/4rP1P/3R2PK/8 b - - 3 37,585
8/p3kp2/1p2p1R1/5r1p/2r2p2/P1P1R3/6PK/8 b - - 1 40,934
r3k2r/1bqn1ppp/p2p1P2/1p2p1B1/3Nn3/P1P1Q3/2P1B1PP/R4RK1 b kq - 0 15,246
r4k2/p6R/1p3Npb/2p1pn2/8/P6P/1PP2P2/3R3K w - - 1 28,475
3b4/pp6/2k5/8/4KPR1/1P4N1/P4P2/8 w - - 3 43,568
8/8/1p2p3/2p1k3/2P1n3/8/8/1K6 b - - 1 58,695
1k6/p5p1/2p1Bp2/r6p/1n3P1P/8/P4KP1/1b6 b - - 0 32,802
r4rk1/3q3p/pp3b2/3b4/P3p3/2N5/1PP1Q1PP/3R1RK1 w - - 0 22,297
8/2P2p1k/P2Q2p1/7p/5q2/7P/6PK/8 w - - 1 43,811
8/p6p/2B2kp1/2p5/2P5/1P2P2p/P4P1K/8 w - - 3 35,575
3r1b2/1k2qp2/p2B2p1/6P1/2Q1P3/P6p/7P/7K b - - 2 33,706
4k2r/3n2p1/p3pqP1/1p1b1pB1/1b1P4/3Q4/PP2BP2/R2K2R1 w - - 4 24,391
3q2k1/5rp1/3Q3p/p4p2/R7/PP4P1/4PP1P/b2R2K1 w - - 1 29,884
8/5p2/4N1p1/p2kp3/1p6/6R1/PP4K1/8 b - - 1 55,-400
8/8/k7/b7/rR6/N6P/K7/8 b - - 5 56,353
6k1/5p1p/1p2p1p1/8/2rr2P1/P1R4P/5P2/6K1 b - - 3 34,989
8/5pk1/p5p1/1p6/8/1P1B4/Pq4R1/4K3 b - - 5 61,692
1rqr2k1/2p2pp1/p7/1pNBRbP1/7Q/8/PP3P2/3R2K1 w - - 0 34,458
2r2k2/1p3p2/5R1p/p3B1pq/P2Pp1P1/R3P2P/4r3/5QK1 w - - 1 32,870
1r3rk1/p3qppp/3p4/2pP4/2P5/1P6/P3B1PP/Q3R2K b - - 2 24,385
